id,date,bank_rate,Quarter,Year,Month,Week_Num,brm_lookup,,,
brw_129,2016-01-20,0.75,1,2016,1,4,brm_030,,,
brw_130,2016-01-27,0.75,1,2016,1,5,brm_030,,,
brw_131,2016-02-03,0.75,1,2016,2,6,brm_031,,,
brw_132,2016-02-10,0.75,1,2016,2,7,brm_031,,,
brw_133,2016-02-17,0.75,1,2016,2,8,brm_031,,,
brw_134,2016-02-24,0.75,1,2016,2,9,brm_031,,,
brw_135,2016-03-02,0.75,1,2016,3,10,brm_032,,,
brw_136,2016-03-09,0.75,1,2016,3,11,brm_032,,,
brw_137,2016-03-16,0.75,1,2016,3,12,brm_032,,,
brw_138,2016-03-23,0.75,1,2016,3,13,brm_032,,,
brw_139,2016-03-30,0.75,1,2016,3,14,brm_032,,,
brw_140,2016-04-06,0.75,2,2016,4,15,brm_033,,,
brw_141,2016-04-13,0.75,2,2016,4,16,brm_033,,,
brw_142,2016-04-20,0.75,2,2016,4,17,brm_033,,,
brw_143,2016-04-27,0.75,2,2016,4,18,brm_033,,,
brw_144,2016-05-04,0.75,2,2016,5,19,brm_034,,,
brw_145,2016-05-11,0.75,2,2016,5,20,brm_034,,,
brw_146,2016-05-18,0.75,2,2016,5,21,brm_034,,,
brw_147,2016-05-25,0.75,2,2016,5,22,brm_034,,,
brw_148,2016-06-01,0.75,2,2016,6,23,brm_035,,,
brw_149,2016-06-08,0.75,2,2016,6,24,brm_035,,,
brw_150,2016-06-15,0.75,2,2016,6,25,brm_035,,,
brw_151,2016-06-22,0.75,2,2016,6,26,brm_035,,,
brw_152,2016-06-29,0.75,2,2016,6,27,brm_035,,,
brw_153,2016-07-06,0.75,3,2016,7,28,brm_036,,,
brw_154,2016-07-13,0.75,3,2016,7,29,brm_036,,,
brw_155,2016-07-20,0.75,3,2016,7,30,brm_036,,,
brw_156,2016-07-27,0.75,3,2016,7,31,brm_036,,,
brw_157,2016-08-03,0.75,3,2016,8,32,brm_037,,,
brw_158,2016-08-10,0.75,3,2016,8,33,brm_037,,,
brw_159,2016-08-17,0.75,3,2016,8,34,brm_037,,,
brw_160,2016-08-24,0.75,3,2016,8,35,brm_037,,,
brw_161,2016-08-31,0.75,3,2016,8,36,brm_037,,,
brw_162,2016-09-07,0.75,3,2016,9,37,brm_038,,,
brw_163,2016-09-14,0.75,3,2016,9,38,brm_038,,,
brw_164,2016-09-21,0.75,3,2016,9,39,brm_038,,,
brw_165,2016-09-28,0.75,3,2016,9,40,brm_038,,,
brw_166,2016-10-05,0.75,4,2016,10,41,brm_039,,,
brw_167,2016-10-12,0.75,4,2016,10,42,brm_039,,,
brw_168,2016-10-19,0.75,4,2016,10,43,brm_039,,,
brw_169,2016-10-26,0.75,4,2016,10,44,brm_039,,,
brw_170,2016-11-02,0.75,4,2016,11,45,brm_040,,,
brw_171,2016-11-09,0.75,4,2016,11,46,brm_040,,,
brw_172,2016-11-16,0.75,4,2016,11,47,brm_040,,,
brw_173,2016-11-23,0.75,4,2016,11,48,brm_040,,,
brw_174,2016-11-30,0.75,4,2016,11,49,brm_040,,,
